Recurso,Simulado
760006 - DESINFETANTE PERFUMADO,0
717085 - VASSOURA DE PELO 40CM,0
717017 - PAPEL TOALHA BRANCO C/2400 F.,0
SUCO - JU - CAIXINHA SUCO CAJU 200ML,0
SARDINHA - SARDINHA 125 g,0
701452 - CAMISA CEDROPAC LEVE 2 M. LONGA CINZA,0
701460 - CAMISA CEDROPAC LEVE 2 M. CURTA CINZA,0
701455 - CAMISA EM MALHA PP GOLA CARECA M. CURTA CINZA CLARO,0
701404 - CALÇA CEDROPAC 2 C/ ELÁSTICO CINZA,0
701008 - BATA MÉDIA  CEDROPAC LEVE 2 GOLA PADRE M. CURTA LARANJA,0
701007 - BATA MÉDIA  CEDROPAC LEVE 2 GOLA PADRE M. CURTA CINZA,0
701459 - CAMISA EM MALHA PP GOLA CARECA M. CURTA LARANJA,0
701458 - CAMISA EM MALHA PIQUÊ SUPREMO ANTI-PILLING GOLA POLO M. CURTA CINZA CLARO,0
"497820 - MANTA FILMA POLIET. 2mm. X 1,20 MT.",0
700346 - BALDE GRADUADO PP CAP. 8000ML,0
700340 - JARRA GRADUADA PLAST CAP. 1000ML,0
PAO - CO - PAO DE COCO 500 Gr.,0
497836 - CX.PAP.OND.DUP.25X20X16cm..,0
326537 - SELADOR P/ MADEIRA - INCOLOR,0
899999 - MANUTENÇÃO DE VEICULOS,0
313136 - ESM. PU ACRILICO VERDE,0
313134 - ESM. PU ACRILICO AMARELO,0
313132 - REDUTOR PARA PU,0
318413 - ESM. SINT. LARANJA,0
318139 - ESM. SINT. AMARELO VALMET,0
318504 - ESM. SINT. VERDE J. DEERE,0
318346 - ESM. SINT. VERMELHO M.F.,0
318656 - ESM. SINT. AZUL N. HOLLAND,0
318280 - ESM. SINT. CINZA OPALESCENTE,0
501338 - BOBINA P/ ELETROVALVULA VMR 1-2.1/2 220V 25W,0
487873 - DETER-SOLV 15 (PARA LIMPEZA DE PEÇAS),0
240640 - CIL. COMPL. CBHM/CBH CÓD. 4.1/2 x 2 x 335 mm,0
318167 - BONDERIT M-FE 564,0
318168 - BONDERITE C-IC 3995,0
318169 - BONDERITE C-AK L 95 (desengraxante),0
318173 - BONDERITE M-FE F212 BO,0
318170 - BONDERITE C-AD B 725 (aditivo),0
318172 - BONDERITE M-AD 700 (auxiliar),0
292026 - TEE DE REDUÇÃO 3.1/2 PARA 2 SCHEDULE 40,0
292028 - TEE 2 SCHEDULE 40,0
"600050 - CHAVE ALLEN CURTA 4,0MM",0
600551 - CHAVE CANHÃO DE AÇO CARBONO 6MM,0
600552 - JG CHAVE DE FENDA E PHILIPS ISOLADA C/ 5 PÇS,0
"569897 - PONTA DE PROVA 1,10M C/ GARRA JACARÉ 70MM",0
533510 - ALICATE PRENSA TERMINAIS 5 EM 1 AP 510,0
533244 - ALICATE CORTE DIAGONAL ISOLADO 6,0
802050 - OLEO SOLUVEL,0
500271 - ELEMENTO FILTRO DO HIDRAULICO,0
350023 - ANTI-RESPINGO DE SOLDA LIQUIDO SPATTER OFF,0
534050 - ELETRODO SILVERPLUS 130A (HYP220665),0
534144 - ELETRODO SILVERPLUS 80A (HYP420566),0
533884 - BOCAL 130A (HYP220183),0
533891 - BICO 80A (HYP220188),0
533892 - BICO 130A (HYP220182),0
"240235 - MANG DE SUCÇÃO AZUL 2""",0
240236 - MANG DE SUCÇÃO AZUL 4,0
134012 - TUBO RETANGULAR 150 X 100 X 6.35 X 5000,0
214108 - RODA 6 FUROS TANDEM (PARAF. 5/8),0
350622 - SKYLACK THINNER PU TH700,0
701039 - BOTAS VAQUETA C/ BIQUEIRA AÇO/COMPOSITE,0
116631 - COMP. NAVAL SOMASSOALHO 3090 X 1695 X 20MM,0
