produto,grupo
533510 - ALICATE PRENSA TERMINAIS 5 EM 1 AP 510,
533244 - ALICATE CORTE DIAGONAL ISOLADO 6,
802050 - OLEO SOLUVEL,
500271 - ELEMENTO FILTRO DO HIDRAULICO,
350023 - ANTI-RESPINGO DE SOLDA LIQUIDO SPATTER OFF,
534050 - ELETRODO SILVERPLUS 130A (HYP220665),
534144 - ELETRODO SILVERPLUS 80A (HYP420566),
533884 - BOCAL 130A (HYP220183),
533891 - BICO 80A (HYP220188),
533892 - BICO 130A (HYP220182),
240473 - TERMINAL MACHO - CIL. CBH's,
"240235 - MANG DE SUCÇÃO AZUL 2""",Especiais
240236 - MANG DE SUCÇÃO AZUL 4,Especiais
"298876 - MACHO  ENG RÁPIDO DE 1/2"" C/PROTETOR",
134012 - TUBO RETANGULAR 150 X 100 X 6.35 X 5000,
214104 - RODA 6 FUROS RS (PARAF. 1/2),Roda
214108 - RODA 6 FUROS TANDEM (PARAF. 5/8),Roda
214105 - RODA 6 FUROS RD (PARAF. 5/8),Roda
350622 - SKYLACK THINNER PU TH700,
268150 - PNEU 7.50-16 IMPL (16TT 10PR RA45),Pneus
"222401 - CUBO RODA F. FUND. NOD. GGG-50"" F6",Cubo de roda
"222402 - CUBO RODA F. FUND. NOD. GGG-50"" FA4/CBHM",Cubo de roda
"218455 - CAMARA AR 750X16 (16"" L430)",Pneus
701039 - BOTAS VAQUETA C/ BIQUEIRA AÇO/COMPOSITE,
116631 - COMP. NAVAL SOMASSOALHO 3090 X 1695 X 20MM,Comp Naval
116612 - COMP. NAVAL SOMASSOALHO 3070 X 450 X 20MM,Comp Naval
116627 - COMP. NAVAL SOMASSOALHO 3890 X 1695 X 20MM,Comp Naval
116615 - COMP. NAVAL SOMASSOALHO 3870 X 450 X 20MM,Comp Naval
116623 - COMP. NAVAL SOMASSOALHO 1790X 450 X 20MM,Comp Naval
"222185 - PINO TRAVA C/ ARG. 3/8"" X 2"" - ZA.",
240493 - FECHO RÁP. P/CARR. LE CÓD.ESP481E,
